text,fontSize,color,fontFamily
{{$lang.message.lyw['1']}},40,#333333,Microsoft YaHei
{{$lang.message.lyw['2']}},40,#797979,Microsoft YaHei
{{$lang.message.lyw['3']}},28,#F5F5F5,Microsoft YaHei
{{$lang.message.lyw['4']}},30,#333333,Microsoft YaHei
{{$lang.message.lyw['5']}},30,#797979,Microsoft YaHei
{{$lang.message.lyw['6']}},40,#333333,Microsoft YaHei
{{$lang.message.lyw['7']}},26,#333333,Microsoft YaHei
{{$lang.message.lyw['8']}},28,#333333,Microsoft YaHei
{{$lang.message.lyw['9']}},24,#E29760,Microsoft YaHei
{{$lang.message.lyw['10']}},24,#E29760,Microsoft YaHei
{{$lang.message.lyw['11']}},24,#333333,Microsoft YaHei
{{$lang.message.lyw['12']}},30,#333333,Microsoft YaHei
{{$lang.message.lyw['13']}},30,#797979,Microsoft YaHei
